time,left_ankle_pitch_pos,right_ankle_pitch_pos,left_ankle_pitch_vel,right_ankle_pitch_vel,left_ankle_pitch_torque,right_ankle_pitch_torque,left_ankle_roll_pos,right_ankle_roll_pos,left_ankle_roll_vel,right_ankle_roll_vel,left_ankle_roll_torque,right_ankle_roll_torque,com_x,com_y,com_z,base_height,base_roll,base_pitch,base_yaw
4.849,-0.19404649103777116,-0.37451498672814304,0.9643238148612833,-3.518170958682901,-106.31137293796488,-13.610568530961695,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9568943146446242,0.04617092416600188,-0.07318563554824098,-1.5275210436709736
4.8500000000000005,-0.18639890302585316,-0.40990715592656035,0.6053934334275443,-3.556675735910881,-91.61562041001854,-7.562158797957677,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9535104863821974,0.05611859212981585,-0.09011876132590735,-1.5217764875867914
4.851,-0.18222334187710945,-0.4455073527308953,0.26760705959562847,-3.549404158739945,-79.3728840407062,-3.1033959874412442,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9503737618536668,0.06680969054650765,-0.10855617674910323,-1.5153635227153064
4.852,-0.1812059343928769,-0.4801963722718662,-0.02522883031207754,-3.1213973700382605,-69.77526911650949,-3.3388238793504508,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9472750970487676,0.07826530801483711,-0.1280174836727037,-1.5087093830714808
4.853,-0.1758810689288217,-0.5017062222226976,1.0403527215271444,-1.7491340844262304,-86.05516064212418,-13.334447133824161,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9439395977712777,0.090498824261809,-0.14362414892981845,-1.5011886853057905
4.854,-0.16443506667666005,-0.5180538087712115,1.1145904177641337,-1.600269176352507,-84.33564886373453,-11.297035911825622,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9402766176029564,0.10394296346931198,-0.15023616831464937,-1.4928505927998934
4.855,-0.15504166418652623,-0.5341368357535422,0.7721954825116225,-1.6168719795250563,-76.32989822422344,-8.221648065722997,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9364096976607973,0.11874425728657123,-0.15104852683130332,-1.485034585864006
4.856,-0.14958558715394554,-0.550133080241709,0.35728611096239166,-1.5672186996814181,-67.21999754190793,-6.248348537807073,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.932336559565549,0.13476282708649334,-0.14787884084319614,-1.4780631297073896
4.857,-0.14792887509287908,-0.565405051356892,0.027143462875317343,-1.4922417523062936,-59.78149193881154,-4.700980721792193,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9280134192066487,0.15169870058109036,-0.14170439557133108,-1.4719242565520039
4.8580000000000005,-0.14901532212561883,-0.579751497862795,-0.20891317986350766,-1.3798307011107709,-54.4652233927416,-3.5331625073799815,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9234087702323377,0.16944343244773163,-0.13316001048569293,-1.466493482860284
